name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries,is_pro,activity_score
Alessandro Russo,29,,,20.0,13.3,,0.0,0.0,0.0,,10.0,0,23.3
Luis Hernández,1366,,,51.4,40.9,,0.07,0.53,0.39,,8.68,1,49.97
Yvandro Borges Sanches,28,,,30.0,26.7,,0.0,6.67,6.67,,10.0,1,43.37
Gori,9,,,50.0,40.0,,0.0,0.0,0.0,,0.0,1,40.0
Kristijan Jaki?,1879,,,40.4,30.4,,0.33,2.25,1.39,,12.8,1,44.59
Marco Verratti,1244,,,104.2,97.2,,0.14,3.91,2.32,,7.61,1,107.13
Maxence Lacroix,1002,,,60.4,51.8,,0.09,0.81,0.45,,4.59,1,56.84
Mateo Klimowicz,603,,,29.3,21.8,,0.45,1.79,0.9,,4.93,0,27.63
Rui Patrício,3420,,,28.2,21.6,,0.0,0.0,0.0,,4.03,0,25.63
Joel Roca,67,,,44.3,32.9,,0.0,2.86,2.86,,7.14,1,42.9
Marc Bartra,1993,,,50.1,41.6,,0.14,1.99,0.9,,9.32,1,51.82
Demba Seck,146,,,27.5,22.5,,1.88,1.25,1.25,,5.63,0,29.38
Bevic Moussiti-Oko,698,,,20.9,11.5,,0.9,0.38,0.13,,3.46,0,15.09
Keylor Navas,1856,,,26.8,24.6,,0.0,0.0,0.0,,4.66,0,29.26
Darko Lazovi?,1323,,,33.4,21.1,,0.54,1.16,0.61,,5.51,0,27.22
Ilyes Housni,11,,,30.0,30.0,,0.0,10.0,10.0,,0.0,1,40.0
Riccardo Saponara,1284,,,38.6,29.9,,0.98,0.49,0.28,,5.73,0,35.91
Jaume Grau,3,,,4.0,2.0,,0.0,1.0,1.0,,0.0,0,3.0
Keanan Bennetts,50,,,38.3,28.3,,0.0,1.67,0.0,,10.0,0,38.3
Trevoh Chalobah,971,,,59.3,52.6,,0.09,1.48,0.93,,4.81,1,58.34
Jordan Ferri,2911,,,77.5,65.0,,0.06,2.07,1.46,,11.8,1,78.26
Sam Surridge,264,,,22.4,9.66,,0.69,1.38,0.0,,5.17,0,14.83
Luis Sinisterra,537,,,36.7,30.2,,0.83,2.33,1.5,,6.0,0,37.7
Gerónimo Rulli,2880,,,40.0,32.7,,0.0,0.0,0.0,,4.72,0,37.42
Robert Gumny,2272,,,38.1,28.7,,0.0,2.42,1.55,,8.89,0,39.14
Obite N'Dicka,2857,,,58.3,49.7,,0.16,2.05,1.36,,10.6,1,61.66
Vincent Vermeij,3,,,3.0,2.0,,0.0,0.0,0.0,,0.0,0,2.0
Yves Bissouma,2111,,,50.3,45.1,,0.21,3.11,2.13,,10.7,1,57.93
Farid El Melali,400,,,33.6,22.7,,0.23,3.86,2.5,,6.59,0,31.79
Nathan Tella,804,,,20.3,12.6,,0.56,1.35,0.56,,8.76,0,21.92
Giacomo Satalino,8,,,10.0,10.0,,0.0,0.0,0.0,,0.0,0,10.0
Gabriel Gudmundsson,1344,,,47.7,35.0,,0.4,3.49,1.61,,8.12,1,44.73
Kevin Bonifazi,416,,,54.6,46.7,,0.0,1.3,0.87,,6.09,1,53.66
Alessandro Tuia,199,,,39.5,28.2,,0.45,0.91,0.0,,5.45,0,33.65
Waren Kamanzi,91,,,42.0,34.0,,0.0,2.0,0.0,,13.0,1,47.0
Gianluca Pegolo,180,,,38.5,32.0,,0.0,0.0,0.0,,0.5,0,32.5
Boris Radunovi?,270,,,34.3,19.3,,0.0,0.0,0.0,,4.0,0,23.3
Antonín Barák,999,,,36.3,29.3,,0.27,1.08,0.63,,3.6,0,33.53
Mario Hermoso,1865,,,63.2,54.3,,0.19,1.35,0.72,,9.95,1,64.97
Ishak Belfodil,1636,,,25.9,18.2,,0.93,0.66,0.33,,3.41,0,21.94
Sergio Postigo,848,,,37.9,31.4,,0.0,1.28,0.74,,8.3,1,40.44
Claudio Bravo,270,,,33.0,18.3,,0.0,0.0,0.0,,1.0,0,19.3
Samuel Chukwueze,1333,,,32.0,23.2,,0.47,0.74,0.47,,5.27,0,28.94
