name,minutes,passes_success,passes_total,shots_on_target,duels_won,duels_total,recoveries_high
Max Aarons,2881,34.0,45.0,0.06,1.16,2.16,5.53
Yunis Abdelhamid,2983,38.7,47.0,0.18,1.39,1.87,6.77
Salis Abdul Samed,2462,55.9,61.0,0.18,1.24,2.01,8.76
Laurent Abergel,2956,40.7,49.8,0.21,2.23,3.57,8.87
Charles Abi,45,4.0,12.0,0.0,0.0,0.0,4.0
Dickson Abiama,726,11.1,17.2,0.49,0.86,1.73,4.81
Matthis Abline,103,7.27,9.09,0.0,0.0,0.0,6.36
Tammy Abraham,3084,14.6,20.2,0.93,0.64,0.99,3.67
Luis Abram,560,31.3,35.5,0.0,0.97,1.13,4.03
Francesco Acerbi,2536,64.3,71.1,0.25,0.43,0.96,10.7
Ragnar Ache,259,14.5,24.5,0.69,0.69,0.69,5.17
Mohamed Achi,10,30.0,50.0,0.0,10.0,10.0,10.0
Marcos Acuña,2260,62.3,78.5,0.2,1.55,2.31,8.92
Che Adams,2039,14.8,21.3,1.06,0.4,0.7,5.29
Tyler Adams,1351,52.8,60.9,0.0,1.07,1.73,10.6
Sargis Adamyan,331,19.7,26.5,0.54,2.16,3.51,7.03
Martin Adeline,352,27.4,37.4,0.26,3.08,3.59,10.3
Amine Adli,1256,28.0,37.1,1.36,1.79,2.71,6.57
Yacine Adli,2260,36.3,49.3,0.6,1.35,1.91,6.41
Michel Aebischer,443,44.1,49.6,0.41,1.63,3.06,6.73
Felix Afena-Gyan,668,16.9,22.2,0.95,0.54,1.08,6.22
Martin Agirregabiria,1616,31.3,43.8,0.0,1.28,2.33,8.33
Julen Agirrezabala,360,15.3,20.5,0.0,0.0,0.0,3.75
Lucien Agoume,1868,39.8,47.2,0.05,2.02,2.74,9.9
Kevin Agudelo,1237,20.7,28.1,0.8,1.97,2.99,7.23
Nayef Aguerd,2735,64.3,71.5,0.23,0.39,0.99,7.63
Sergio Agüero,151,18.2,25.3,0.59,0.59,0.59,1.76
Ruben Aguilar,2140,60.4,72.1,0.08,2.14,3.82,9.92
Álvaro Aguirre,9,20.0,20.0,0.0,10.0,10.0,10.0
Naouirou Ahamada,61,42.9,48.6,0.0,0.0,0.0,4.29
Anel Ahmedhodzic,1350,51.3,57.9,0.27,1.47,2.33,10.4
Jean-Eudes Aholou,1004,31.1,36.7,0.18,0.89,1.79,10.4
Joseph Aidoo,2637,43.1,52.0,0.03,1.4,1.98,9.59
Ola Aina,1437,34.1,47.3,0.25,0.94,2.0,7.88
Rayan Aït Nouri,1828,37.1,49.4,0.2,2.12,3.74,6.65
Kristoffer Ajer,1995,28.3,39.3,0.05,0.99,1.8,8.38
Ludovic Ajorque,2738,22.0,29.9,0.79,0.82,1.51,3.75
Manuel Akanji,2261,71.8,79.1,0.12,1.43,1.99,9.56
Carlos Akapo,1844,30.7,41.4,0.05,1.66,2.59,9.76
Marley Aké,77,14.4,18.9,0.0,0.0,0.0,4.44
Nathan Aké,923,75.7,83.0,0.19,0.49,1.46,7.57
Ilias Akhomach,124,32.1,37.9,1.43,0.0,1.43,7.14
Maghnes Akliouche,54,33.3,36.7,1.67,1.67,3.33,6.67
Paul Akouokou,516,50.4,57.5,0.0,2.11,2.98,9.65
Jean-Daniel Akpa-Akpro,315,26.3,32.3,0.0,2.57,4.57,6.86
Kevin Akpoguma,1527,42.4,54.7,0.24,1.18,2.18,8.47
David Alaba,2642,61.4,66.9,0.2,0.61,0.85,6.43
Sofiane Alakouch,158,46.7,56.7,0.0,3.33,4.44,8.89
Tomás Alarcón,1425,26.2,36.7,0.13,0.95,1.9,10.2
Lucas Alario,655,14.5,21.2,1.78,0.55,0.68,3.42
Jordi Alba,2644,79.5,94.2,0.2,0.85,1.5,9.18
Josué Albert,22,30.0,40.0,0.0,0.0,0.0,10.0
Luis Alberto,2353,63.0,75.7,0.61,0.69,1.19,7.13
Raúl Albiol,2465,48.8,55.8,0.04,0.55,0.99,8.83
Marc Albrighton,1132,27.4,43.7,0.08,1.27,2.62,6.11
Paco Alcácer,787,14.3,19.7,0.92,0.34,0.57,3.22
Thiago Alcántara,1534,77.9,87.0,0.35,2.35,3.41,12.8
Rubén Alcaraz,1105,44.8,53.3,0.49,2.44,3.5,12.0
Omar Alderete,2403,21.6,34.8,0.19,1.69,2.43,10.6
Iván Alejo,1065,17.1,29.1,0.34,1.69,2.8,7.54
Doðan Alemdar,1080,23.8,32.7,0.0,0.0,0.0,5.17
Carles Aleñá,2320,26.7,33.3,0.54,0.85,1.32,6.16
Trent Alexander-Arnold,2853,63.5,85.4,0.44,0.76,1.39,10.1
Mircea Alexandru Tirlea,15,50.0,70.0,0.0,0.0,0.0,20.0
Mohamed Ali Cho,1837,11.2,15.8,0.74,0.34,0.49,4.07
Alisson,3240,32.7,37.8,0.0,0.0,0.0,6.22
Allan,2183,31.2,39.8,0.12,2.51,3.17,11.2
Jim Allevinah,1488,25.1,33.3,0.91,0.91,1.45,5.27
Dele Alli,338,30.0,40.0,0.0,2.63,3.95,10.3
Dele Alli,657,22.9,29.3,0.27,0.96,2.6,6.3
Miguel Almirón,1716,21.3,26.4,0.37,1.73,2.98,6.39
Marcos Alonso,2167,47.0,60.4,0.41,1.16,1.87,8.96
Giorgio Altare,1466,34.5,50.2,0.37,1.72,2.58,12.9
Hugo Álvarez,11,10.0,30.0,0.0,0.0,0.0,0.0
Yeray Álvarez,1860,39.9,48.1,0.0,0.92,1.64,12.2
Dani Alves,1098,75.3,88.8,0.16,1.56,2.87,9.18
Steven Alzate,404,46.0,52.0,0.22,1.78,2.0,13.6
Ibrahim Amadou,812,42.9,48.9,0.22,1.11,2.0,6.89
Emmanuel Amankwaa Akurugu,79,30.0,44.4,0.0,0.0,0.0,10.0
Daniel Amartey,2123,57.3,62.5,0.04,0.51,1.06,8.94
Amath,884,16.9,21.5,0.41,1.33,2.65,4.8
Jordan Amavi,128,54.3,62.9,0.0,2.14,5.0,2.86
Jordan Amavi,413,58.3,68.7,0.0,1.09,3.04,10.2
Wisdom Amey,71,25.0,36.3,0.0,0.0,2.5,10.0
Kelvin Amian,2646,30.6,38.7,0.24,1.33,2.31,5.03
Nadiem Amiri,683,29.9,40.4,0.79,0.92,1.45,6.97
Nadiem Amiri,369,44.9,54.4,0.49,0.98,1.95,9.02
Ethan Ampadu,2282,34.1,45.4,0.04,1.69,2.99,10.4
Sofyan Amrabat,944,61.1,67.7,0.29,2.1,2.95,10.9
Joachim Andersen,2916,56.0,67.8,0.09,0.71,1.11,8.86
