name,minutes_played,goals,assists,passes_total,passes_success,shots_total,shots_on_target,duels_total,duels_won,ball_losses,recoveries
Max Aarons,2881,,,45.0,34.0,,0.06,2.16,1.16,,5.53
Yunis Abdelhamid,2983,,,47.0,38.7,,0.18,1.87,1.39,,6.77
Salis Abdul Samed,2462,,,61.0,55.9,,0.18,2.01,1.24,,8.76
Laurent Abergel,2956,,,49.8,40.7,,0.21,3.57,2.23,,8.87
Charles Abi,45,,,12.0,4.0,,0.0,0.0,0.0,,4.0
Dickson Abiama,726,,,17.2,11.1,,0.49,1.73,0.86,,4.81
Matthis Abline,103,,,9.09,7.27,,0.0,0.0,0.0,,6.36
Tammy Abraham,3084,,,20.2,14.6,,0.93,0.99,0.64,,3.67
Luis Abram,560,,,35.5,31.3,,0.0,1.13,0.97,,4.03
Francesco Acerbi,2536,,,71.1,64.3,,0.25,0.96,0.43,,10.7
Ragnar Ache,259,,,24.5,14.5,,0.69,0.69,0.69,,5.17
Mohamed Achi,10,,,50.0,30.0,,0.0,10.0,10.0,,10.0
Marcos Acuña,2260,,,78.5,62.3,,0.2,2.31,1.55,,8.92
Che Adams,2039,,,21.3,14.8,,1.06,0.7,0.4,,5.29
Tyler Adams,1351,,,60.9,52.8,,0.0,1.73,1.07,,10.6
Sargis Adamyan,331,,,26.5,19.7,,0.54,3.51,2.16,,7.03
Martin Adeline,352,,,37.4,27.4,,0.26,3.59,3.08,,10.3
Amine Adli,1256,,,37.1,28.0,,1.36,2.71,1.79,,6.57
Yacine Adli,2260,,,49.3,36.3,,0.6,1.91,1.35,,6.41
Michel Aebischer,443,,,49.6,44.1,,0.41,3.06,1.63,,6.73
Felix Afena-Gyan,668,,,22.2,16.9,,0.95,1.08,0.54,,6.22
Martin Agirregabiria,1616,,,43.8,31.3,,0.0,2.33,1.28,,8.33
Julen Agirrezabala,360,,,20.5,15.3,,0.0,0.0,0.0,,3.75
Lucien Agoume,1868,,,47.2,39.8,,0.05,2.74,2.02,,9.9
Kevin Agudelo,1237,,,28.1,20.7,,0.8,2.99,1.97,,7.23
Nayef Aguerd,2735,,,71.5,64.3,,0.23,0.99,0.39,,7.63
Sergio Agüero,151,,,25.3,18.2,,0.59,0.59,0.59,,1.76
Ruben Aguilar,2140,,,72.1,60.4,,0.08,3.82,2.14,,9.92
Álvaro Aguirre,9,,,20.0,20.0,,0.0,10.0,10.0,,10.0
Naouirou Ahamada,61,,,48.6,42.9,,0.0,0.0,0.0,,4.29
Anel Ahmedhodzic,1350,,,57.9,51.3,,0.27,2.33,1.47,,10.4
Jean-Eudes Aholou,1004,,,36.7,31.1,,0.18,1.79,0.89,,10.4
Joseph Aidoo,2637,,,52.0,43.1,,0.03,1.98,1.4,,9.59
Ola Aina,1437,,,47.3,34.1,,0.25,2.0,0.94,,7.88
Rayan Aït Nouri,1828,,,49.4,37.1,,0.2,3.74,2.12,,6.65
Kristoffer Ajer,1995,,,39.3,28.3,,0.05,1.8,0.99,,8.38
Ludovic Ajorque,2738,,,29.9,22.0,,0.79,1.51,0.82,,3.75
Manuel Akanji,2261,,,79.1,71.8,,0.12,1.99,1.43,,9.56
Carlos Akapo,1844,,,41.4,30.7,,0.05,2.59,1.66,,9.76
Marley Aké,77,,,18.9,14.4,,0.0,0.0,0.0,,4.44
Nathan Aké,923,,,83.0,75.7,,0.19,1.46,0.49,,7.57
Ilias Akhomach,124,,,37.9,32.1,,1.43,1.43,0.0,,7.14
Maghnes Akliouche,54,,,36.7,33.3,,1.67,3.33,1.67,,6.67
Paul Akouokou,516,,,57.5,50.4,,0.0,2.98,2.11,,9.65
Jean-Daniel Akpa-Akpro,315,,,32.3,26.3,,0.0,4.57,2.57,,6.86
Kevin Akpoguma,1527,,,54.7,42.4,,0.24,2.18,1.18,,8.47
David Alaba,2642,,,66.9,61.4,,0.2,0.85,0.61,,6.43
Sofiane Alakouch,158,,,56.7,46.7,,0.0,4.44,3.33,,8.89
Tomás Alarcón,1425,,,36.7,26.2,,0.13,1.9,0.95,,10.2
Lucas Alario,655,,,21.2,14.5,,1.78,0.68,0.55,,3.42
Jordi Alba,2644,,,94.2,79.5,,0.2,1.5,0.85,,9.18
